sa3_code16, tot_p, australia_p, feature_name
40101,30004,13055,Adelaide City
40102,70544,55772,Adelaide Hills
40103,43963,28370,Burnside
40104,50388,31050,Campbelltown (SA)
40105,35250,22660,Norwood - Payneham - St Peters
40106,27984,18961,Prospect - Walkerville
40107,37414,26223,Unley
40201,34105,26519,Gawler - Two Wells
40202,89771,63550,Playford
40203,68344,39110,Port Adelaide - East
40204,136257,86080,Salisbury
40205,92095,66688,Tea Tree Gully
40301,33679,23939,Holdfast Bay
40302,89158,60340,Marion
40303,63550,46105,Mitcham
40304,165132,120931,Onkaparinga
40401,107876,71804,Charles Sturt
40402,57639,37191,Port Adelaide - West
40403,60998,39035,West Torrens
