sa3_code16, tot_p, australia_p, feature_name
30101,70683,52550,Capalaba
30102,82229,58375,Cleveland - Stradbroke
30103,67706,48435,Wynnum - Manly
30201,40606,29049,Bald Hills - Everton Park
30202,69418,49682,Chermside
30203,38373,25921,Nundah
30204,57699,39884,Sandgate
30301,49861,34749,Carindale
30302,71907,47314,Holland Park - Yeronga
30303,71986,39636,Mt Gravatt
30304,39091,24242,Nathan
30305,60141,29256,Rocklea - Acacia Ridge
30306,50619,20470,Sunnybank
30401,32352,20705,Centenary
30402,45014,29248,Kenmore - Brookfield - Moggill
30403,51887,30595,Sherwood - Indooroopilly
30404,49530,37731,The Gap - Enoggera
30501,81718,35989,Brisbane Inner
30502,39774,27890,Brisbane Inner - East
30503,87968,56911,Brisbane Inner - North
30504,56062,39567,Brisbane Inner - West
31001,72433,39042,Forest Lake - Oxley
31002,62453,50329,Ipswich Hinterland
31003,103519,82761,Ipswich Inner
31004,83640,52333,Springfield - Redbank
31101,13926,11131,Beaudesert
31102,40638,27866,Beenleigh
31103,79520,51264,Browns Plains
31104,45188,34584,Jimboomba
31105,59474,38949,Loganlea - Carbrook
31106,77167,45300,Springwood - Kingston
31301,33103,24447,Bribie - Beachmere
31302,67849,50790,Caboolture
31303,13316,10140,Caboolture Hinterland
31304,62100,47367,Narangba - Burpengary
31305,60369,42086,Redcliffe
31401,85026,66472,The Hills District
31402,70897,48740,North Lakes
31403,36784,27700,Strathpine
