sa3_code16, tot_p, australia_p, feature_name
20601,85865,53561,Brunswick - Coburg
20602,51511,34794,Darebin - South
20603,66415,42934,Essendon
20604,173561,52233,Melbourne City
20605,103075,57991,Port Phillip
20606,63153,35294,Stonnington - West
20607,88847,53442,Yarra
20701,167594,106087,Boroondara
20702,90968,45720,Manningham - West
20703,103512,56262,Whitehorse - West
20801,95772,65835,Bayside
20802,148252,85207,Glen Eira
20803,115651,78015,Kingston
20804,41302,27158,Stonnington - East
20901,121716,86316,Banyule
20902,95492,51624,Darebin - North
20903,63770,51048,Nillumbik - Kinglake
20904,214528,127226,Whittlesea - Wallan
21001,58068,38924,Keilor
21002,28898,23515,Macedon Ranges
21003,75698,41352,Moreland - North
21004,38911,30600,Sunbury
21005,161963,84723,Tullamarine - Broadmeadows
21101,153856,100023,Knox
21102,25543,18285,Manningham - East
21103,109032,78332,Maroondah
21104,60834,36006,Whitehorse - East
21105,146052,113988,Yarra Ranges
21201,93224,69601,Cardinia
21202,131033,73545,Casey - North
21203,168356,93333,Casey - South
21204,188223,70924,Dandenong
21205,178765,79785,Monash
21301,186657,81020,Brimbank
21302,83557,53694,Hobsons Bay
21303,82972,42981,Maribyrnong
21304,153312,100110,Melton - Bacchus Marsh
21305,223939,115834,Wyndham
21401,133199,95024,Frankston
21402,150986,114235,Mornington Peninsula
