sa3_code16, tot_p, australia_p, feature_name
50201,93394,62391,Mandurah
50301,68704,42258,Cottesloe - Claremont
50302,109783,54084,Perth City
50401,79685,44649,Bayswater - Bassendean
50402,41135,28937,Mundaring
50403,127434,76269,Swan
50501,152888,88683,Joondalup
50502,190871,105176,Stirling
50503,185157,97315,Wanneroo
50601,78991,46173,Armadale
50602,71244,34996,Belmont - Victoria Park
50603,93881,41393,Canning
50604,117642,59867,Gosnells
50605,56382,36640,Kalamunda
50606,26462,18070,Serpentine - Jarrahdale
50607,42311,23843,South Perth
50701,100914,59710,Cockburn
50702,37160,22690,Fremantle
50703,38376,22175,Kwinana
50704,100781,60473,Melville
50705,122389,74372,Rockingham
