sa3_code16, tot_p, australia_p, feature_name
10201,167672,128558,Gosford
10202,157069,127420,Wyong
11501,144831,83275,Baulkham Hills
11502,26134,19148,Dural - Wisemans Ferry
11503,24285,19750,Hawkesbury
11504,33080,23131,Rouse Hill - McGraths Hill
11601,135548,69721,Blacktown
11602,93395,52381,Blacktown - North
11603,113243,60563,Mount Druitt
11701,49125,23008,Botany
11702,54533,31696,Marrickville - Sydenham - Petersham
11703,255448,91430,Sydney Inner City
11801,128225,67507,Eastern Suburbs - North
11802,143943,72244,Eastern Suburbs - South
11901,172744,93747,Bankstown
11902,135999,58482,Canterbury
11903,128505,62993,Hurstville
11904,140441,63756,Kogarah - Rockdale
12001,85986,46138,Canada Bay
12002,55651,35480,Leichhardt
12003,153484,65986,Strathfield - Burwood - Ashfield
12101,115478,58861,Chatswood - Lane Cove
12102,81005,47108,Hornsby
12103,119123,67483,Ku-ring-gai
12104,94743,52566,North Sydney - Mosman
12201,42348,24683,Manly
12202,59379,42599,Pittwater
12203,149581,96902,Warringah
12301,62147,49911,Camden
12302,159328,98137,Campbelltown (NSW)
12303,40701,33270,Wollondilly
12401,76803,59500,Blue Mountains
12402,8,5,Blue Mountains - South
12403,139994,104641,Penrith
12404,36652,29333,Richmond - Windsor
12405,53918,35698,St Marys
12501,91655,30168,Auburn
12502,66988,33556,Carlingford
12503,151758,73197,Merrylands - Guildford
12504,146804,59080,Parramatta
12601,47887,24836,Pennant Hills - Epping
12602,137749,67545,Ryde - Hunters Hill
12701,102836,57410,Bringelly - Green Valley
12702,186220,75613,Fairfield
12703,118873,58960,Liverpool
12801,109007,82646,Cronulla - Miranda - Caringbah
12802,106946,84745,Sutherland - Menai - Heathcote
